url,category,search_term,title,company,location,salary,job_type,description,posted_date,region
https://www.caribbeanjobs.com/ICT-Technician-Job-227125.aspx,information_technology,IT Support,ICT Technician,Popular Locations,,,,"ICT Technician Jamaica Tertiary Education Commission Kingston and St. Andrew See description Fixed term contract Updated 16/02/2026 HRM Apply Now Share Share this job Facebook Twitter Report This Job Save Save Maintains in-house technology equipment and ICT assets.  This includes installing, configuring, diagnosing, repairing, and upgrading all Agency hardware and equipment while ensuring their optimal performance. Jamaica Tertiary Education Commission JOB DESCRIPTION JOB TITLE: ICT Technician JOB GRADE: MIS/IT 3 DIVISION (SECTION): CORPORATE SERVICES (ICT Section) REPORTS TO: Manager, ICT SUPERVISES DIRECTLY: Not Applicable Job Purpose : The ICT Technician (Hardware) maintains in-house technology equipment and ICT assets.  This includes installing, configuring, diagnosing, repairing, and upgrading all Agency hardware and equipment while ensuring their optimal performance. The incumbent will also troubleshoot problem areas in a timely and accurate manner, and provide end user training and assistance where required. Key Outputs: Current preventative maintenance schedules On-time response to resolve technology issues Operational technology devises and equipment Configured computers, communication devises and peripheral equipment End User training in productivity tools delivered Up-to-date Hardware supplies inventory Key Duties and Responsibilities Technical responsibilities : Install, test and maintain a variety of personal computing and network hardware systems; perform diagnostic tests, modify or repair hardware to the board or component level (while honouring the warranty or legal restrictions on the equipment); gather and record appropriate data related to these functions. Perform post installation checkout, operations and maintenance support. Configures computers, communications devices and peripheral equipment. Build and assemble interconnecting cables and other specialised hardware. Install hardware, cables and related devices. Coordinate personal computer hardware and software troubleshooting, installation, repair, problem diagnosis, and implementation. Perform on-site analysis, diagnosis, and resolution of complex PC problems for a variety of end users, and recommend and implement corrective hardware solutions, including off-site repair as needed. Receive calls for assistance, installations, and general maintenance; logs calls and takes appropriate action to ensure a satisfactory response within the established timeframe for the user community; provides management and status reports on all requests. Liaise with, and provide training and support to, end users and staff on the use of productivity devises and machinery as well as computer operation and other issues as required or instructed Maintain a complete inventory of supplies and parts and request replacements at required reorder levels in a timely manner. Utilise personal computing hardware and software word-processing, spreadsheet, and database applications to perform basic duties including documentation, reporting, scheduling and user support. Perform any other related duties as required. Administrative Responsibilities : Recommend and coordinate periodic cleaning and maintenance schedule for Agency’s computers, printers and photocopiers; Liaise with third-party support and PC equipment vendors as required. Administer the maintenance/servicing of machines and print management systems. This includes changing license on software and updating PC with relevant software. Administer the print management group by assigning or removing users from print management groups. Examine devices, record the status of service/repairs and request repairs or disposal according to policy. Assess areas for new equipment to supply the specifications/workload of the areas. Prepare and submits relevant schedules and reports as required Authority to: Recommend/monitor periodic cleaning and maintenance schedule for Agency’s computers, printers and photocopiers Recommend the issuing of replacement/interim devices Assist in reviewing work peripheral devises and the work of contractors on such devises for conformance to standard Install hardware devices as per approval Recommend repairs Fix/repair devices Decisions referred to immediate supervisor Approval for the repair/replacement/purchase of productivity devices by vendors. Approval of any travel. Performance Standards: Productivity devices are operational. Respond to Help Desk tickets and other queries within established turnaround times. Down time of devices is within the stipulated ceiling. Users are sensitised to the use of productivity devices. Departmental policies, procedures, standards, and ICT controls adhered to. Confidentiality, integrity and professionalism are displayed in the execution of all duties and in personal conduct. Working Conditions: Normal office environment. Possibility of being required to work at the weekends, for extended hours/at night and on public holidays to facilitate cleaning of machinery or emergencies. Ability to lift and carry at least 50lbs (ICT related equipment/PC devices) May be required to travel to external locations in support of JTEC activities. Required Competencies: Core Ability to communicate effectively both orally and in writing Sound knowledge of computer configurations and network operations. Good critical thinking, problems solving and decision making skills Sound spatial competencies Good human relations/customer service ability Quick learner Technical Good understanding of various operating systems, Internal and External Contacts Within Jamaica Tertiary Education Commission Contact (Title) Purpose of Communication Manager, ICT To receive instructions and guidance. Staff and Members of the Commission To provide and/or obtain information and for coordinating activities and technical support as required. Staff To resolve relevant issues and provide training. Contacts external to the organisation required for the achievement of the position objectives Contact (Title) Purpose of Communication Suppliers of goods and services To effect repairs or acquire information. External institutions To secure information required to implement solutions in support of JTEC activities. Minimum Required Education and Experience BSc. Degree in Computer Science from a recognised tertiary institution 1 year’s experience in a related field OR Diploma in Computer Science or Computer Engineering or equivalent qualifications. At least 2 years’ experience in an IT environment with experience with installation and maintenance of personal computers, operating systems and application software. OR Certification in Computer Hardware, Repair and Troubleshooting (CompTIA A+) with 4-5 years’ experience in an IT environment installing, maintaining personal computers, printers, operating systems and application software Proven ability to communicate effectively both orally and in writing Exceptional customer orientation. Ref: ICTTech Apply Now",,Caribbean
https://www.caribbeanjobs.com/Jamaica-Tertiary-Education-Commission-Jobs-5741.aspx,information_technology,IT Support,Jamaica Tertiary Education Commission,Popular Locations,,,,Jamaica Tertiary Education Commission Email Me Jobs From This Recruiter,,Caribbean
https://www.caribbeanjobs.com/Development-Support-Analyst-Insurance-Application-Job-227092.aspx,information_technology,IT Support,Development Support Analyst – Insurance Application Services,Popular Locations,,,,"Development Support Analyst – Insurance Application Services Sagicor Group Jamaica Ltd. Kingston and St. Andrew Not disclosed Permanent full-time Updated 16/02/2026 SGJ TAU Log in or register to apply Share Share this job Facebook Twitter Report This Job Save Save While we appreciate all applicants, only applications received via Sagicor's career portal https://career4.successfactors.com/career?company=sagicorfinP2 will be considered. ""Looking for a diverse and rewarding career? If you're looking to grow your career within a stable and growing financial services company, then Sagicor may be right for you!"" Sagicor Group Jamaica Limited is seeking a suitable candidate to join our Group Application Services team in the capacity of: Development Support Analyst – Insurance Application Services Investigate, troubleshoot and resolve technical issues related to software applications and systems. Work closely with development teams, stakeholders, and end-users to identify and fix problems, ensuring minimal downtime and optimal system performance. Location: Kingston As a Development Support Analyst – Insurance Application Services, you will: Evaluate and undertake impact analysis on major technical options and takes a leading role in proposing technical solutions within area of expertise. Take responsibility for investigative work to seek effective business solutions for assigned projects. Utilize business experience and skills to assess and advise on the practicability of alternatives. Take responsibility as needed for the detailed specification and modelling of recommended solutions. Plan, arrange and control meetings, workshops, and relations with client/user staff during system investigations and throughout subsequent development work. Take technical responsibility for most stages of the life cycle for software development of all types of systems. Prescribe standards for the terms and symbols used in program documentation. Assist to set guidelines for the preparation of policies and procedures manuals. Coordinate the preparation of detailed documentation on the operation of programs for users and computer operators. Undertake all work in accordance with required technical and quality standards and using appropriate methods and tools to achieve well-engineered product. Recommend program changes to increase operating efficiency or to adapt to new systems requirements. Modify application software to include corrective maintenance. Implement version control and release management procedures, as per change management policy. Apply automated and manual tools including ‘black box’ and ‘white box’ testing, to test and evaluate systems and networks under development. Monitor all activities against plan, providing regular and accurate reports to senior management, and client/user management as appropriate. Maintain contact with larger software and hardware vendors for support and to remain informed of developments within the industry. Communicate with core software vendors, to develop system designs into specific functionality requirements. Perform other job-related duties assigned from time to time. What do you need? Bachelor's degree in computer science or equivalent qualification from a recognized tertiary institution. A minimum of two (1) years working experience in IT related disciplines. Strong analytical/critical thinking skills. Results oriented. Effective interpersonal and communication skills. A team player. Sound decision-making skills. Working knowledge of programming languages, such as COBOL, TSO, JCSL, CICS C#, SQL, CSS, HTML, JavaScript, DB2 and MSSQL. Familiarity with Software Development Life Cycle (SDLC) methodologies. Ability to design and develop moderately complex programs and programs modification. Experience in application systems integration of average complexity. If this role is of interest to you, kindly submit an application via Sagicor's career portal no later than February 20, 2026. While we appreciate all applications, only shortlisted candidates will be contacted. Ref: Development Support Analyst – Insurance Applicatio Log in or register to apply",,Caribbean
https://www.caribbeanjobs.com/Sagicor-Group-Jamaica-Ltd-Jobs-310.aspx,information_technology,IT Support,Sagicor Group Jamaica Ltd.,Popular Locations,,,,"Sagicor Group Jamaica Ltd. Who We Are • Sagicor Life Jamaica Limited (Sagicor) is the foremost life insurance company in Jamaica. The company commenced operations in 1970 as Life of Jamaica Limited, the first Jamaican-owned life insurance company and was the first life insurance company to be listed on the Jamaica Stock Exchange (JSE). Since its inception, Sagicor has gained a solid reputation as a pacesetter, innovator and leader in the Caribbean life insurance industry. The company has been the market leader among life insurance companies in Jamaica. Subsidiaries of Sagicor Jamaica are: Sagicor Property Services Limited Property management Sagicor Life of the Cayman Islands LimitedLife Insurance & Annuities Sagicor Pooled Investment Funds LimitedPension funds management Employee Benefits Administrator LimitedPension administration Sagicor Re Insurance Limited (Cayman)Property and casualty insurance Pan Caribbean Financial Services LimitedInvestment Banking Cayman General Insurance Company LimitedProperty, casualty and health insurance Sagicor Insurance Brokers LimitedFacultative Brokerage Email Me Jobs From This Recruiter",,Caribbean
https://www.caribbeanjobs.com/I-T-Technician-Job-226730.aspx,information_technology,IT Support,I.T. Technician,Popular Locations,,,,"I.T. Technician CrewsInn Hotel & Yachting Centre D'Martin/Chaguaramas Not disclosed Permanent full-time Updated 09/02/2026 Apply Now Share Share this job Facebook Twitter Report This Job Save Save To support the I.T. Manager in the maintenance of group’s computer hardware and software, communication and networking systems SCOPE To support the I.T. Manager in the maintenance of group’s computer hardware and software, communication and networking systems RESPONSIBILITIES Responsible for the maintenance of the group’s LAN infrastructure Troubleshooting of hardware & software related issues Responsible for the research of any hardware/software requirements as per the group’s needs To assist with the implementation & administration of any hardware/software operations To assist with the maintenance & administration of the group’s communications system To assist with the development & implementation of system security policies To assist with the development of procedural & training manuals End-user support To assist with any other IT/technical related issues as directed by the IT Manager KNOWLEDGE & SKILLS Knowledge of the principles and practices computing systems and networks Ability to work with little supervision Ability to effectively multitask QUALIFICATIONS & EXPERIENCE Must have Network+; A+ Certification Must have experience maintaining/installing surveillance cameras. 2 - 3 years working experience of Windows Server 2008/2012. Installing & configuring of managed switches/routers/access points. Microsoft Windows client operating systems. Hours of Work The normal hours of work are from 8.00a.m. to 4.30 p.m. Mondays through Fridays Due to the nature of the role, the employee may be required to work outside of these normal working hours as opertional needs arise. We thank all interested persons, however, only short-listed candidates will be contacted. Ref: I.T. Technician Apply Now",,Caribbean
https://www.caribbeanjobs.com/CrewsInn-Hotel-Yachting-Centre-Jobs-278.aspx,information_technology,IT Support,CrewsInn Hotel & Yachting Centre,Popular Locations,,,,"CrewsInn Hotel & Yachting Centre CrewsInn Hotel and Yachting Centre, Trinidad's finest sea-front Resort Whether dreams, work or leisure brings you to the seas of the Caribbean, CrewsInn is here to make the experience easy, pleasurable and efficient. Set between the glimmer of the Caribbean sea and the thousand shades of green of the island’s largest nature preserves, CrewsInn welcomes you. A hotel, marina, restaurant, coffee shop and conference center together with on-site shopping, make this seaside haven self-contained, practical and awesomely idyllic. Isolated but never remote Located outside the hurricane belt, this natural shelter is noted as one of the regions safest harbors. CrewsInn is a modern well-appointed port of call, with all the amenities of a small town. In less than 15 minutes you can be in the bustle of the island’s capital city, Port of Spain, or you could be teeing off on the island’s most verdant golf course. Or, you can just stay in and enjoy on-site shopping, dining, water-sports, a dip in the pool, or just relax in one of 46 luxurious guest rooms. Email Me Jobs From This Recruiter",,Caribbean
https://www.caribbeanjobs.com/Sales-Representatives-IT-Tech-Job-226408.aspx,information_technology,IT Support,"Sales Representatives,  IT Tech.",Popular Locations,,,,"Sales Representatives,  IT Tech. Call Center Pros Kingston and St. Andrew / St. Catherine See description Permanent full-time Updated 04/02/2026 HR Manager Apply Now Share Share this job Facebook Twitter Report This Job Save Save Call Center Pros Ltd
We are looking for enrollment agent

As a enrollment Agent, you will be responsible for ensuring the delivery of our client’s customer experience promise. 

Actively recruiting 

Tech personals Call Center Pros Ltd We are looking for enrollment  Agents to join our innovative 3-way team. As a Health Insurance Enrollment Agent, you will be responsible for ensuring the delivery of our client’s customer experience promise. In this role, they will provide an exceptional experience by giving our client’s customers the insights to help finalize enrollments Responsibilities Make 3-Way calls Take a consultative approach to uncovering solutions regarding new products and services that will help the prospects in their search for health-related products and services Offer resolution within the scope of allotted offerings that may satisfy clients desires. as appropriate Overcome possible prospects objections to persuade a buying action on each call the first time. Demonstrate extraordinary interpersonal skills and the ability to thrive, multi-task, and prioritize in a high-volume, dynamic environment Required Skills: Excellent English Language/Communication skills. Competitive spirit and the drive to be at the top Persuasive and Sales-oriented Proficiency in using computer applications Team player who is assertive, goal-oriented, positive, and self-motivated Desire to work in a dynamic, fun, and fast-paced environment Strong ability to multi-task, including conversing while navigating our systems simultaneously High level of integrity Proven ability to promote and build extraordinary customer rapport Ability to take complete ownership of customer issues and provide resolution before ending the call Coachable, learner mindset, ability to take feedback and proactively apply it to improve results Self-driven to achieve targets and deliver superior service Ability to meet  targets. Qualifications: Minimum 3 CXC passes, or equivalent qualification is preferred, Or a combination of experience and related skills and the ability to pass internal assessments. Ref: Sales Agent,    IT TechC Apply Now",,Caribbean
https://www.caribbeanjobs.com/Call-Center-Pros-Jobs-4093.aspx,information_technology,IT Support,Call Center Pros,Popular Locations,,,,Call Center Pros Email Me Jobs From This Recruiter,,Caribbean
https://www.caribbeanjobs.com/IT-Assistant-Job-225983.aspx,information_technology,IT Support,IT Assistant,Popular Locations,,,,"IT Assistant Blue Diamond Resorts St. John Not disclosed Permanent full-time Updated 28/01/2026 Talent Acquisition Apply Now Share Share this job Facebook Twitter Report This Job Save Save The IT Assistant supports the hotel's technology infrastructure by assisting with hardware and software maintenance, troubleshooting technical issues, and ensuring smooth operation of all IT systems. Job Title: IT Assistant Location: Royalton Vessence Barbados Job Summary: The IT Assistant supports the hotel's technology infrastructure by assisting with hardware and software maintenance, troubleshooting technical issues, and ensuring smooth operation of all IT systems. This role provides technical support to staff and ensures the security and efficiency of IT resources in accordance with hotel standards. Key Responsibilities: Assist in the installation, configuration, and maintenance of computer hardware, software, and network equipment. Provide technical support to hotel staff regarding hardware, software, and network problems. Troubleshoot and resolve connectivity issues, system crashes, and other IT-related problems promptly. Maintain inventory of IT equipment and supplies. Assist in the setup and maintenance of audiovisual equipment for meetings and events. Ensure data security and backup procedures are followed. Document IT procedures, issues, and resolutions. Support the implementation of IT policies and standards. Collaborate with the IT vendor or service providers as needed. Perform routine system updates and maintenance tasks. Assist in training staff on new systems or software. Core Competencies & Skills: Basic knowledge of networking, hardware, and software troubleshooting. Ability to work independently and as part of a team. Strong organizational and problem-solving skills. Customer service orientation with excellent communication skills. Knowledge of hotel management systems and property management software is a plus. Ability to handle multiple tasks efficiently in a fast-paced environment. Qualifications & Experience: Relevant certifications in IT or related fields preferred. Prior experience in IT support or technical assistance, preferably in hospitality or a similar environment. Basic understanding of cybersecurity principles. Additional Requirements: Flexibility to work different shifts as needed. Ability to handle sensitive information discreetly. Ref: IT Assistant Apply Now",,Caribbean
https://www.caribbeanjobs.com/Blue-Diamond-Resorts-Jobs-5236.aspx,information_technology,IT Support,Blue Diamond Resorts,Popular Locations,,,,"Blue Diamond Resorts Since its debut in the hospitality sector in 2011, Blue Diamond Resorts has rapidly ascended to become the Caribbean's most dynamic and swiftly expanding resort conglomerate. Offering opulent getaways tailored to travellers of all ages, Blue Diamond Resorts boasts an enticing presence in sought-after destinations spanning Mexico and the Caribbean. These include the Dominican Republic, Jamaica, as well as the captivating landscapes of Costa Rica and the idyllic island gems of St. Lucia, Antigua, and Grenada. With a diverse portfolio encompassing over 60 distinct properties and an impressive total of 18,000 luxurious guest rooms, Blue Diamond Resorts specializes in curating unparalleled vacation experiences Email Me Jobs From This Recruiter",,Caribbean
