url,category,search_term,title,company,location,salary,job_type,description,posted_date,region
https://www.caribbeanjobs.com/SYSTEMS-ADMINISTRATOR-MIS-IT-5-Job-226723.aspx,information_technology,Systems Administrator,SYSTEMS ADMINISTRATOR (MIS/IT 5),Popular Locations,,,,"SYSTEMS ADMINISTRATOR (MIS/IT 5) The Casino Gaming Commission Kingston and St. Andrew See description Contract Updated 09/02/2026 HR Apply Now Share Share this job Facebook Twitter Report This Job Save Save The Systems Administrator is responsible for the installation, configuration, maintenance, and secure operation of the Commission’s server infrastructure, operating systems, and enterprise platforms. SYSTEMS ADMINISTRATOR (MIS/IT 5) Job Summary The Systems Administrator is responsible for the installation, configuration, maintenance, and secure operation of the Commission’s server infrastructure, operating systems, and enterprise platforms. The post holder ensures the availability, integrity, and security of ICT systems, manages user access and system performance, supports disaster recovery and business continuity arrangements, and provides technical support to ensure uninterrupted operations in fulfilment of the Commission’s mandate. Key Responsibilities Systems Administration and Infrastructure Management Install, configure, upgrade, and maintain physical and virtual servers, operating systems, enterprise software, and peripherals Monitor server performance, availability, and capacity to ensure reliability, efficiency, and optimal system operation Manage system updates, patches, and version upgrades in accordance with established change management and security protocols Install, configure, and maintain server environments to support development, testing, training, and production systems Replace, upgrade, and decommission obsolete or defective hardware and software components as required Security, Data Protection and Business Continuity Manage user accounts, access rights, groups, and permissions in accordance with approved security policies and segregation-of-duties requirements Enforce system security best practices to prevent cyber threats, unauthorised access, and data breaches Implement, monitor, and maintain backup, recovery, and disaster recovery solutions to ensure data integrity and system resilience Collaborate with the Security Manager and relevant stakeholders on ICT security matters and incident response Support cybersecurity initiatives, data governance requirements, and audit readiness within a regulated environment Implement and monitor controls to ensure compliance with applicable legislation, gaming regulations, and data protection requirements Systems Support, Integration, and Deployment Diagnose and resolve hardware, software, operating system, and network issues, documenting problems and solutions Deploy and support enterprise applications across test, training, and production environments Support system integrations with external government platforms to facilitate validation, reporting, and regulatory compliance Automate system and application deployments where feasible to improve efficiency and reduce risk Provide technical documentation and specifications to support system planning, upgrades, and enhancements Reporting, Documentation, and Continuous Improvement Maintain accurate system documentation, configuration records, and operational procedures Prepare technical reports and proposals for review by the Director and Infrastructure Manager Research emerging technologies, tools, and industry trends and recommend improvements to enhance system performance and security Participate in ICT and cross-functional projects aimed at improving service delivery and operational efficiency Support digital forensic investigations and ICT-related incident response activities in collaboration with the Enforcement Division Training and User Support Provide technical support to users as required and escalate issues where necessary Facilitate training and sensitisation sessions to improve users’ understanding of systems and security practices Minimum Required Qualifications and Experience First Degree in Information Technology, Computer Science, Information Systems, or a related field At least three (3) years’ experience in systems administration or a related ICT role Certification in systems administration or networking (e.g. Microsoft, Linux, or equivalent) would be an asset Strong knowledge of server and networking technologies, operating systems, databases, and infrastructure security Working knowledge of the Software Development Life Cycle (SDLC) Experience in high-security or regulated environments such as government, financial institutions, or gaming operations would be an asset Experience with scripting and automation tools would be an asset Knowledge of applicable legislation, regulations, and ICT governance standards Remuneration: Salary Scale $ $4,266,270.00 – $5,737,658.00 per annum plus gratuity Application along with detailed Curriculum Vitae should be submitted no later than March 1, 2026. Ref: SYSTEMS ADMINISTRATOR (MIS/IT 5) Apply Now",,Caribbean
https://www.caribbeanjobs.com/The-Casino-Gaming-Commission-Jobs-3787.aspx,information_technology,Systems Administrator,The Casino Gaming Commission,Popular Locations,,,,The Casino Gaming Commission Email Me Jobs From This Recruiter,,Caribbean
https://www.caribbeanjobs.com/Data-Steward-Job-226950.aspx,information_technology,Systems Administrator,Data Steward,Popular Locations,,,,"Data Steward S.M. Jaleel & Company Limited San Fernando Not disclosed Permanent full-time Updated 12/02/2026 HR Department Apply Now Share Share this job Facebook Twitter Report This Job Save Save The Data Steward is responsible for managing all data during the full life cycle. Also, with ERP group implementations and on-going support inclusive of business requirement analysis and technical design for the SMJ group. Position Overview The Data Steward is responsible for managing all data during the full life cycle. Also, with ERP group implementations and on-going support inclusive of business requirement analysis and technical design for the SMJ group. Key Responsibilities Master Data Creation & Maintenance Create and maintain Indirect (Garage/Factory/Properties/HSE) codes in line with Group standards. Accurately capture and update Indirect codes on Epicor. Create and maintain Supplier codes in accordance with Group data governance policies. Accurately capture Supplier codes on Epicor ensuring completeness and correctness. Capture and maintain Raw Material codes on Epicor in line with approved standards. Maintain Customer Master Files ensuring data accuracy, completeness, and consistency. Manage Finished Goods (FG) pricing updates and ensure pricing accuracy in the system. Ensure all master data entries comply with company policies and data standards. Maintain proper documentation for all master data changes. Data Governance & Compliance Conduct regular data governance audits to ensure data integrity and compliance with Group policies Identify data inconsistencies and implement corrective actions Ensure adherence to master data standards and approval workflows. Provide audit reports highlighting data quality issues and improvement actions. Support internal and external audit requirements relating to master data. System Data Management (Epicor) Ensure timely and accurate entry of all approved master data into Epicor. Monitor data quality within the system and proactively resolve discrepancies. Collaborate with IT and relevant departments to improve system data processes. Support testing and validation of system updates affecting master data. Stakeholder Support & Continuous Improvement Provide guidance to internal stakeholders on data standards and code creation processes. Respond to data-related queries and resolve issues within agreed service levels. Recommend process improvements to enhance data accuracy and efficiency. Support cross-functional teams in maintaining high-quality master data standards across the organization. Ethics & Confidentiality Uphold organizational standards and maintain strict confidentiality at all times. Education, Qualifications and knowledge requirements: Bachelor’s degree in Information Technology, Data Science or a related field. Certified Data Management (CDMP) - Associate or Practitioner level. Data & Information Governance Course – Trinidad & Tobago. Collibra Data Steward Certification. International ICT Governance Certifications – ISO 27001, SOC 2, CSA STAR. Minimum of five (5) years of experience in Infrastructure/Systems Administrator Epicor full life cycle implementations experience. Experience in a multi-site environment preferred. Strong knowledge of IT operational processes, resource management, and performance monitoring. Excellent critical thinking, problem-solving, decision-making, and organizational abilities. Strong communication, interpersonal and collaboration skills. High level of integrity, adaptability, and results orientation. Ref: Data Steward Apply Now",,Caribbean
https://www.caribbeanjobs.com/S-M-Jaleel-Company-Limited-Jobs-85.aspx,information_technology,Systems Administrator,S.M. Jaleel & Company Limited,Popular Locations,,,,"S.M. Jaleel & Company Limited In 1924, S.M. Jaleel and Co. Ltd. from South Trinidad began making soft drinks. Four decades later, S.M. Jaleel and Co. successfully competes in the Caribbean market with soft drink giants such as Coca Cola and Pepsi and holds the spot of number one distributor of soft drinks and fruit drinks in the Caribbean. Today the values and standards we worked with as a family owned Company, are the same values and standards that serve as a multi-national entity. The seven brands that make up the SM Jaleel family are marketed in over 50 countries worldwide, making our seven brands of non-alcoholic, beverages household names throughout the Caribbean. S.M. Jaleel and Company Limited owns and operates Factory Sites and Distribution Companies in Jamaica, Barbados, St. Lucia, Guyana and Saudi Arabia. Email Me Jobs From This Recruiter",,Caribbean
https://www.caribbeanjobs.com/Information-Technology-Specialist-Guyana-Job-226922.aspx,information_technology,Systems Administrator,Information Technology Specialist (Guyana),Popular Locations,,,,"Information Technology Specialist (Guyana) S.M. Jaleel & Company Limited Guyana / Georgetown Not disclosed Permanent full-time Updated 12/02/2026 HR Department Apply Now Share Share this job Facebook Twitter Report This Job Save Save The Information Technology Specialist is responsible for overseeing IT operations while also providing first-line technical support to onsite and remote employees in Guyana. IT Specialist (Guyana) Location: Georgetown Position Overview The Information Technology Specialist is responsible for overseeing IT operations while also providing first-line technical support to onsite and remote employees in Guyana. This role ensures secure, reliable, and efficient technology services across the organization, including oversight of IT infrastructure, systems administration, ERP support, team coordination, and compliance with IT standards and policies. Key Responsibilities IT Management & Leadership Lead day-to-day IT operations for the Guyana site, ensuring alignment with organizational goals and global IT standards. Develop, implement, and enforce IT policies, procedures, and best practices. Oversee IT projects, including system upgrades, infrastructure improvements, and technology rollouts. Manage IT vendors, service providers, and procurement of IT equipment and software. Supervise IT staff where applicable and coordinate support activities across teams. Conduct ongoing risk assessments to improve system security, reliability, and performance. ERP Administration & Support Provide functional and technical support for the organization’s ERP system. Coordinate ERP upgrades, module enhancements, and integration initiatives. Troubleshoot ERP user issues and collaborate with business units to optimize workflows. Maintain user roles, permissions, and access governance within the ERP platform. Generate ERP-related reports, audits, and data analysis as required. Technical Support & Operations Configure and maintain end-user devices, including laptops, mobile phones, printers, and associated profiles. Troubleshoot and resolve hardware, software, network, and authentication issues. Support onboarding and offboarding through accurate provisioning and deactivation of accounts. Provide administration support for Quickbooks. Maintain time and attendance Facial Recognition devices. Support GPS Tracking software – Platform Admin, vendor relations and coordination Provide CCTV maintenance, configuration and support. Maintain precise documentation of incidents, resolutions, and system changes. Perform routine preventive maintenance and ensure system uptime. Provide technical support to the Delivery and Sales teams as required. Asset & Security Management Oversee IT asset management, including inventory control, allocation, and lifecycle tracking. Ensure adherence to cybersecurity standards, data protection practices, and regulatory requirements. Implement and monitor backup strategies, disaster recovery procedures, and business continuity controls. Ethics & Confidentiality Uphold organizational standards and maintain strict confidentiality at all times. Education, Qualifications and knowledge requirements: Bachelor’s degree in information technology, Computer Science, or a related field. Professional certifications (CompTIA A+, Network+, ITIL, Microsoft, Cisco) are an asset. Minimum of five (5) years of experience in IT operations, technical support, or IT management. Hands-on experience with ERP systems (e.g., SAP, Oracle, Microsoft Dynamics, or equivalent) is required. Experience managing IT Projects, Strong knowledge of IT operational processes, resource management, and performance monitoring. Demonstrated experience troubleshooting to resolve complex issues. Continuously identify opportunities for optimization and automation. Excellent critical thinking, problem-solving, decision-making, and organizational abilities. Strong communication, interpersonal and collaboration skills. High level of integrity, adaptability, and results orientation. Applications are open to Guyanese nationals only. Ref: Information Technology Specialist (Guyana) Apply Now",,Caribbean
https://www.caribbeanjobs.com/Fund-Administration-Officer-Job-226911.aspx,information_technology,Systems Administrator,Fund Administration Officer,Popular Locations,,,,"Fund Administration Officer Jamaica Money Market Brokers Limited(JMMB) Kingston and St. Andrew Not disclosed Permanent full-time Updated 12/02/2026 Apply Now Share Share this job Facebook Twitter Report This Job Save Save To provide administrative support for the management of all Mutual Funds, Unit Trust, Pooled Funds and Other Arrangements administered by JMMB or its related entities. MAIN DUTIES & RESPONSIBILITIES: o Retirement Scheme JMMB RS Corporate  Monitor email on a daily basis – contribution listing and payment confirmations  Reconcile contributions received for corporate clients against listings; where there are discrepancies perform relevant investigations  Support with processing contribution on Pension Admin System  Perform daily reconciliation JMMB Bank Settlement Account and other bank accounts  Liaise with Bank Recon/CP to verify bank confirmations for further credit to members corporate Fund 30 accounts & provide monthly report of outstanding contributions  Respond to on-going queries from members, employers and pensioner’s requirements JMMB RS Retail  Following up with retirement quotations, notifying CRO’s, liaising with client to ensure completeness of retirement process  Liaise and support branch network relating to client queries – merging records on UCS with pension system/ member enrolment/ switch requests/ leaver processing/ member update/ processing TV-ins and TV-outs, etc.  Follow up with branches, to ensure upload of enrolment forms and supporting enrolment documents to UCS  Daily reconciliation of invested contribution for JMMB RS Retail members between Fund Strategy Fund 30 Account and Pension Admin System o General – JMMB RS and Superannuation Plans  Support with reviewing transactions initiated on Pension Master Online (PMO) for execution in Work Manager (E.g. Switches, updates)  Solicit retirement quotation from insurance companies and or actuarial firm  Support collation of information to support administrator in the preparation of internal and external, regulatory and non-regulatory reports. Such as:  Reports to Tax Administration Jamaica (TAJ)  Annual Reports  Actuarial valuation Data  Trustee quarterly report  FSC’s Certified Financial Report  List of Selling Agents  Members’ Hand Book  Filing of Withholding Tax for Pension Funds, Pooled Funds and Individual Retired Members  Follow up with Transfer Value-In and obtain relevant documentation from respective institution  Assist with processing and execution of leavers’ requests, which includes: - Preparing and distributing packages relating to death, transfer, retirement/ refund to members and/or Trustees  Assist with preparation and distribution of Annual Benefit Statements and managing client queries after distribution  Maintain log of client issues, maintaining a registry of action taken and obligations to be met, reporting periodically to the company head on action taken.  Address question or concerns from Members/Trustees  Act as relief support for Senior Fund Administrator/ Fund Administrator/ Utility Officer when necessary  Support effective maintenance of filing room in line with established guidelines  Liaise with Insurance Providers regarding confirmation of payment to pensioners  In the event of a wind up, support the coordination and management of overall wind-up process for discontinued Plans. Duties include, but are not limited to, support the collation of relevant submissions to the FSC, Plan’s actuary, Board of Trustees, TAJ and Members  Monitor and execute member’s requests via pension online portal in accordance with established Service Level Agreement  Update pension systems with new enrolments, update requests and transfer details from external providers on behalf of existing members  Log and solicit approvals for internal transfer transaction  Support with pension payments current paid from the pension plan  Drafts third party correspondence for review by relevant senior officers  Assists with the movement of documents to facilitate and/or obtain authorized signatures.  Provide support at seminars/functions structured to promotes Fund Services or the products solutions offered by JMMB  Performs any other duties, which may be assigned from time to time.  Promotes the JMMB’s philosophy of the Vision of Love and its unique culture  Is engaged in the transformation process for the continuous improvement of the JMMB and its associated companies. EDUCATION, TRAINING & WORK EXPERIENCE REQUIRED:  First Degree in Management Studies, Business Administration, or related filed.  At least two (2) years’ work experience in a similar capacity.  The Jamaican Securities Course would be a distinct asset  Basic knowledge of the statutory regulations and Acts governing the operations, namely the Pension Act and Regulations, Money Laundering Act, Companies Act, Financial Institutions Act, and all other Acts governing the Financial Services Sector.  Proficiency in oral and written communication.  Good level of proficiency in the use of computer, particularly spreadsheets.  Proficiency in filing and record keeping  Good research, analytical and presentation skills.  High level of interpersonal skills.  Detail oriented Ref: Fund Administration Officer Apply Now",,Caribbean
https://www.caribbeanjobs.com/Jamaica-Money-Market-Brokers-Limited-Jobs-1570.aspx,information_technology,Systems Administrator,Jamaica Money Market Brokers Limited(JMMB),Popular Locations,,,,"Jamaica Money Market Brokers Limited(JMMB) The JMMB Group is one of the caribbean region’s most dynamic and successful financial institutions with an expanding footprint in Trinidad and Tobago. The Group, growing towards a fully-integrated regional Financial Services Company holds a 100% ownership of the Trinidad-based Intercommercial Bank Ltd. now re-branded to JMMB Bank (T&T) Limited and Intercommercial Trust & Merchant Bank Ltd. The Group’s other local subsidiary JMMB Investments (Trinidad & Tobago) Limited – JMMBITT, incorporated in October 2011– began offering a range of Repurchase Agreements and Fixed Income investments in January 2014. Having acquired AIC Securities, currently known as JMMB Securities in April 30th 2014, JMMBITT has become a full-fledged Broker-Dealer offering equities, portfolio management and investment advisory services. The JMMB Group has developed, sells and administers a wide spectrum of investment type products and services in Jamaica and in the Dominican Republic. Known for its pioneering spirit, the Group has consistently introduced new products and services to its diverse client base of over 220,000 individual, corporate and institutional clients. Together the JMMB Group- Trinidad and Tobago companies deepen the JMMB Group’s presence in the country, providing an even more diversified bundle of financial solutions to its clients across business lines locally. Headquartered in Kingston, Jamaica, JMMB is a unique financial services Group that is founded on the principles of love and having the best interest of all at heart. JMMB has operations in Jamaica, the Dominican Republic and Trinidad and Tobago. The Group’s lines of business span securities dealing, stock brokering, foreign exchange trading, insurance brokering, banking and remittances. JMMB is listed on the Trinidad and Tobago, Barbados and Jamaica Stock Exchanges. The brainchild of the late Joan Duncan, JMMB opened for business in November 1992 as the first Money Market Broker in Jamaica. As a possibility thinker, Joan Duncan created a company based on love that provided great investment opportunities to all Jamaicans and was committed to serving its clients, team members and shareholders. That central ethos is very much alive throughout the Group today. JMMB, including its subsidiaries in Trinidad and Tobago, continues to be focused on sustained profitable growth, broader financial service offerings and providing exceptional care to its clients served across the region. Its achievements have been the direct result of the hard-working team’s commitment to the core philosophy of love, and a strategy hinged on comprehensive financial solutions that meet the needs of its client base, its regional diversity and its continued financial growth. JMMB Mission. To maximize client satisfaction through exceptional client care and world class financial advice and expertise. Our values. Solidity, ethics, credibility and openness are hallmarks of JMMB as experts in all aspects of our operations. To be a dynamic, international, multifaceted financial group that has a caring, loving and fun environment where team members are productive, creative, happy and fulfilled. Products Banking Services Everyday Banking Personal Lending Savings & Chequing Facilities Residential & Commercial Mortgage Electronic Banking Business Banking Investment & Securities Services. Check our vacancies today! Email Me Jobs From This Recruiter",,Caribbean
https://www.caribbeanjobs.com/IT-Manager-Job-226839.aspx,information_technology,Systems Administrator,IT Manager,Popular Locations,,,,"IT Manager Barbados Civil Aviation Authority Christ Church Not disclosed Permanent full-time Updated 11/02/2026 Apply Now Share Share this job Facebook Twitter Report This Job Save Save The IT Manager oversees and secures the Authority’s ICT systems to support regulatory excellence and operational efficiency, aligning technology and data assets with BCAA’s objectives while ensuring high-quality aeronautical information systems and compliance with international aviation standards. IT MANAGER - VACANCY NOTICE The Barbados Civil Aviation Authority (BCAA) is seeking a dynamic, strategic, and results-driven IT Manager to lead and safeguard the Authority’s Information and Communications Technology (ICT) environment. This is an exciting leadership opportunity for a forward-thinking ICT professional ready to drive innovation within a highly regulated and mission-critical environment. POSITION OVERVIEW This senior role is responsible for overseeing, managing, securing, and optimizing the Authority’s computer and ICT systems to support regulatory excellence and operational efficiency. The successful candidate will ensure that the BCAA’s technological and data assets are aligned with the Authority’s performance objectives, enabling the delivery of high-quality aeronautical information management systems and supporting Barbados’ compliance with international aviation standards. KEY RESPONSIBILITIES Lead the strategic, organizational, and operational planning of the Authority’s information systems. Manage, monitor, and secure the BCAA’s ICT and data assets, including cyber security, access controls, back-up procedures, operational continuity, and disaster recovery. Identify, recommend, and implement cost-effective ICT solutions including procurement, integration, upgrades, and system enhancements. Develop and manage the annual Information Systems budget. Oversee network infrastructure, servers, installations, migrations, and system performance to ensure reliability, stability, and availability. Supervise and guide IT personnel in network and systems administration. Ensure adherence to IT governance policies and regulatory compliance requirements. Provide expert technical advice and strategic recommendations to Senior Management. Foster innovation, continuous improvement, and effective user support across the Authority. Establish and maintain strategic partnerships with ICT service providers. Participate in policy development, service quality initiatives, and cross-functional projects. Represent the Authority at seminars, workshops, and professional forums. Perform other related duties as may be reasonably assigned. QUALIFICATIONS & EXPERIENCE A Master’s Degree or equivalent postgraduate professional designation in Computer Science, Information Technology, or related field, plus a minimum of three (3) years’ relevant experience in a similar leadership role; OR A Bachelor’s Degree or equivalent postgraduate professional designation in Computer Science, Information Technology, or related field, plus a minimum of five (5) years’ relevant experience in a similar leadership role. Candidates should also demonstrate: Expert knowledge of network administration. Advanced experience in data security and ICT systems management. Strong understanding of IT governance, compliance, and risk management. Working knowledge of the Barbados Civil Aviation Act and Regulations. Experience managing aeronautical information management services in accordance with ICAO Annex 15 and ISO 9001 standards (an asset). Experience with Geographic Information Systems (GIS) (an asset). Proven track record of high performance and leadership. Ability to manage multiple projects under pressure and deliver results within prescribed timelines. Strong analytical, troubleshooting, and systems-thinking capabilities. CORE COMPETENCIES & SKILLS: Exceptional customer and systems user support skills. Strategic thinking and innovation. Strong organisational, planning, budgeting, and project management skills. Critical thinking and sound professional judgement. Rigorous attention to detail. Data-driven decision-making and thorough documentation practices. Integrity, impartiality, and professionalism. Ability to work effectively within a multi-disciplinary regulatory environment. Ref: IT Manager Apply Now",,Caribbean
https://www.caribbeanjobs.com/Barbados-Civil-Aviation-Authority-Jobs-5242.aspx,information_technology,Systems Administrator,Barbados Civil Aviation Authority,Popular Locations,,,,"Barbados Civil Aviation Authority The Barbados Civil Aviation Authority (BCAA) is the regulatory body responsible for the oversight and regulation of civil aviation activities in Barbados. Established to ensure the safety, security, and efficiency of the aviation industry, the BCAA plays a crucial role in the development and implementation of aviation policies, standards, and procedures in alignment with international best practices. Email Me Jobs From This Recruiter",,Caribbean
https://www.caribbeanjobs.com/Compliance-IT-Audit-Lead-JESS-Job-222553.aspx,information_technology,Systems Administrator,Compliance IT Audit Lead (JESS),Popular Locations,,,,"Compliance IT Audit Lead (JESS) KPMG Jamaica (JESS) Kingston and St. Andrew / St. Ann / St. Catherine Not disclosed Permanent full-time Updated 23/01/2026 HR Log in or register to apply Share Share this job Facebook Twitter Report This Job Save Save In this role, you will be responsible for executing high-level compliance audit and develop and implement comprehensive IT and Security Risk Management plans, utilizing your expertise to enable leadership to make informed, risk-based decisions. Compliance Audit Lead Location : Kingston, Jamaica (KPMG Jamaica Extended Support Services: JESS) Join JESS, KPMG Jamaica’s delivery center, supporting KPMG U.S. with mission‑critical IT compliance and risk programs. As Compliance Audit Lead, you’ll execute high‑level audits against ISO standards, drive cross‑disciplinary IT & Security risk management plans, and influence leadership decisions that lower enterprise risk. What you’ll do: Lead compliance audits under ISO/IEC 27001 and ISO/IEC 42001 frameworks, ensuring alignment with risk, compliance, information security, and privacy standards. ​Develop and implement a comprehensive IT & Security Risk Management plan; translate risk insights into clear, actionable recommendations for leadership. ​Analyze key risks and trade‑offs; advise on strategies to minimize overall risk posture. ​Track changes in the operating environment and adjust risk approaches to reflect best practices. ​Oversee projects end‑to‑end; manage timelines, expectations, and deliverables. ​Coach and mentor junior staff; review audit workpapers for quality, timeliness, completeness, and accuracy. ​Manage control evidence requests: collect, evaluate, accept/reject artifacts, and provide feedback to stakeholders. Must‑have qualifications & experience: Bachelor’s degree in Risk Management, Business Administration, Information Technology, or a related field. ​3+ years of relevant IT audit experience, ideally within a large professional services environment. ​Direct experience with ISO/IEC 27001 and/or ISO/IEC 42001—control evaluation, mitigating controls, identifying control deficiencies, and facilitating remediation. ​Working familiarity with PCAOB, SOC 1/2/3, AICPA, ISO, COBIT, CSA, ITIL, and related IT/InfoSec frameworks. ​Strong verbal/written communication, problem‑solving, analytical, and independent judgment skills in a customer‑service, team‑oriented environment. ​Proven ability to work independently and collaborate effectively across teams. ​Excellent organization & time management; dependable with deadlines. ​Proficiency in Microsoft Word, Excel, PowerPoint, and Outlook. Nice‑to‑have certifications: CISA, CISM, CISSP, or ISO/IEC 27001/42001 Lead Auditor. Business competencies: Communication : Clear, effective, and accountable. ​ Customer Service : Quality outcomes for internal and external stakeholders. ​ Collaboration & Teamwork : Cooperative, results‑oriented partnerships. ​ Stakeholder Management : Build strong relationships; influence at all levels. Technical competencies: Problem‑Solving: Apply logic, judgment, and data to recommend solutions. ​Ethics Knowledge: Understand and promote compliance with statutes, regulations, policies, and procedures. ​Information Systems Administration: Practical knowledge of systems concepts and practices. ​Data Gathering & Analysis: Collect, synthesize, and interpret information objectively to inform strategic decisions. ​ Special Conditions: JESS uses a hybrid work model, allowing staff to work from home in Jamaica or in the office. Employees must be in the office at least five days per month, with more days possible if required by business needs. You are expected to use KPMG-approved Generative AI tools to support your daily work tasks. Expected to work in a fast-paced team environment. Will be working primarily in a paperless environment and expected to be using information systems for the entire workday to access data or perform activities. May be required to work extended hours periodically or on public holidays. Why JESS: At JESS, you’ll partner with U.S. leaders on complex risk initiatives, grow your audit & GRC expertise, and contribute to KPMG’s purpose: Inspire Confidence. Empower Change. We offer a professional environment committed to learning, inclusion, and performance excellence. Is this job for you? If YES, please view the Job Description and APPLY on our job webpage immediately below: Compliance Audit Lead APPLY HERE . Learn more about us here : K-JESS Homepage © 2025 KPMG Jamaica Extended Support Services Limited, a company incorporated in Jamaica and a member firm of the KPMG global organization of independent member firms affiliated with KPMG International Limited, a private English company limited by guarantee. All rights reserved. Ref: Compliance Audit Lead (JESS) Log in or register to apply",,Caribbean
